i,c,n,s
1000280585,06009,MEITUAN N3211,11649
1000280586,06010,MEITUAN N3511,11650
1000280587,06012,PEAK RE PSGCSB,12906
1000280885,06013,GTJAHLD B3211,5939
1000281087,06014,BOCL N3011,1269
1000281088,06016,CDB LEAS B3511,2470
1000281721,06017,GAOXIN B2811,5344
1000281722,06018,CINDA20 N2811,3637
1000208986,06024,CCB N2611,2433
101795,06025,MTRC(CI) N2902,12721
1000208987,06029,CCB N2611B,2434
67019,06030,CITIC SEC,3775
1000278515,06031,SANY HEAVY IND,13261
155026,06033,TELECOM DIGIT,15374
179810,06036,APEX ACE HLDG,215
155908,06038,G & M HLDGS,5331
1000017524,06049,POLY PPT SER,12971
1000299849,06051,YOUZAN,17832
225936,06055,CTIHK,4537
210655,06058,CISI FIN,3702
163544,06060,ZA ONLINE,17871
1000029244,06063,LOTUS HORIZON,10855
148570,06066,CSC,4005
1000306895,06067,SENIOR MATERIAL,13297
150096,06068,WISDOM EDU INTL,17641
1000011865,06069,SY HOLDINGS,15319
1000043419,06078,HYGEIA HEALTH,8632
164601,06080,WING CHI HLDGS,17631
1000286044,06082,BIREN TECH,1090
166832,06083,WORLD-LINK LOG,17660
1000226332,06086,FANGZHOU JIANKE,5207
147704,06088,FIT HON TENG,5260
1000273097,06090,BUTONG GROUP,2315
1000001883,06093,HEVOL SERVICES,6100
188592,06098,CG SERVICES,2552
146468,06099,CMSC,3886
189694,06100,TONGDAO LIEPIN,15468
1000307107,06106,SEER TECH,13294
125850,06108,NEW RAY MEDIC,12784
1000010460,06110,TOPSPORTS,15481
157671,06113,BITSTRAT HLDGS,1144
226267,06117,RIZHAO PORT JR,13182
114033,06118,AUSTAR,256
186567,06119,TIAN YUAN GP,15420
108420,06123,YTO INTL EXP,17837
1000080570,06127,JOINN,8846
107679,06128,GRAPHEX GROUP,5904
1000305788,06132,HJ SCIENCE-B,6127
126187,06133,VITAL INNO,17552
108216,06136,KANGDA ENV,10660
104210,06138,HARBIN BANK,6064
171742,06158,ZHENRO PPT,17895
194142,06160,BEONE MEDICINES,350
209854,06162,TR INTERIORS,15486
147389,06163,GEMILANG INTL,5368
1000278101,06166,CIG,3465
1000262959,06168,ZHOU LIU FU,17927
151699,06169,YUHUA EDU,17852
144102,06178,EB SECURITIES,5090
1000226406,06181,LAOPU GOLD,10764
171738,06182,TWINTEK,15529
219414,06185,CANSINOBIO,2401
1000013128,06186,CHINA FEIHE,2677
108325,06188,BJ DIGITAL,1224
147977,06189,ADWAY,94
190372,06190,BANKOFJIUJIANG,305
1000016502,06193,TAILAM TECHCON,15349
134836,06196,BANKOFZHENGZHOU,306
107308,06198,QINGDAO PORT,13120
1000017993,06199,BANK OF GUIZHOU,302
1000307108,06228,MERDEKAGOLD-DRS,11661
101939,06288,FAST RETAIL-DRS,5210
1000286045,06600,ONEROBOTICS,12854
1000083323,06601,CHEERWIN GP,2618
1000263996,06603,IFBH,8684
1000088161,06608,BAIRONG-W,293
1000106904,06609,HEARTCARE-B,6081
1000168724,06610,FLOWING CLOUD,5274
1000102033,06611,SANXUN GROUP,13260
1000264816,06613,LENS,10796
1000100572,06616,GLOBAL NEW MAT,5860
1000067385,06618,JD HEALTH,8774
1000091684,06622,ZHAOKE OPHTH-B,17887
1000190605,06623,LUFAX,10860
1000098703,06626,YUEXIU SERVICES,17847
1000102034,06628,TRANSCENTA-B,15494
1000128327,06633,QINGCI GAMES,13117
1000297160,06636,EXTREME VISION,5195
1000143187,06639,ARRAIL GROUP,222
1000285672,06651,51WORLD,12
1000143188,06655,HX BLDG MAT,8627
1000298729,06656,SIGENERGY,15070
1000227040,06657,BAIWANG CO,294
1000304924,06658,LIULIUMEI,10837
1000167856,06660,AIM VACCINE,134
1000157449,06661,HUZHOU GAS,8613
1000141373,06663,IWS GROUP,8766
1000066992,06666,EVERG SERVICES,5189
1000155454,06667,MEGA GENOMICS,11633
1000074179,06668,E-STAR CM,5077
1000106905,06669,ACOTEC-B,90
1000306002,06675,SENASIC,13296
1000246996,06676,ZG GROUP-W,17884
1000068053,06677,SINO-OCEAN SERV,15099
1000129956,06680,JLMAG,8830
1000240904,06681,BRAINAURORA-B,2300
1000203178,06682,PHANCY,12930
1000190606,06683,STARPLUS LEGEND,15239
1000157851,06686,NOAH HOLDINGS,12810
1000277318,06687,JST GROUP,10621
1000066160,06690,HAIER SMARTHOME,6034
1000249964,06693,CHIFENG GOLD,2649
1000170904,06696,MANY IDEA CLOUD,10903
1000179123,06698,STAR CM,15230
1000097161,06699,ANGELALIGN,198
1000307749,06715,XUNLONG SCITECH,17770
166582,06751,PRC B2711,13010
203845,06753,PRC B2810,13018
203846,06754,PRC B4810,13056
1000017412,06757,PRC B2912,13027
1000017414,06758,PRC B3912,13050
1000061641,06761,PRC B3010,13031
1000061642,06762,PRC B5010,13057
1000067387,06764,PRC B3011,13032
1000067388,06765,PRC B3511B,13047
1000121541,06767,PRC B2610,13002
1000121542,06768,PRC B3110,13036
1000121543,06769,PRC B5110,13058
1000124856,06771,PRC B2811,13019
1000124857,06772,PRC B3311,13042
1000237329,06773,PRC B2710B,13009
1000237330,06774,PRC B3110B,13037
1000241443,06775,PRC B2711B,13011
1000241444,06776,PRC B2911,13025
1000281723,06777,PRC B2811B,13020
1000281724,06778,PRC B3011B,13033
1000283338,06779,PRC B2911B,13026
1000283339,06780,PRC B3211,13040
1000002244,06805,KIMOU ENVIRON,10683
221848,06806,SWHY,15303
64061,06808,SUNART RETAIL,15272
1000288868,06809,MONTAGE TECH,11733
1000294391,06810,SUNMI TECH-W,15282
226384,06811,TAI HING GROUP,15343
1000040126,06812,WINSON HLDGS HK,17639
142694,06816,PROSPER CONS,13082
76843,06818,CEB BANK,2513
1000010461,06820,FRIENDTIMES,5293
1000127401,06821,ASYMCHEM,250
117554,06822,KING'S FLAIR,10692
68991,06823,HKT-SS,6245
121858,06826,HAOHAI BIOTEC,6062
63942,06828,BG BLUE SKY,360
175500,06829,DRAGON RISE GP,4807
70417,06830,HUAZHONG IN-V,8167
1000259261,06831,GREEN TEA GROUP,5917
138291,06833,SINCO PHARMA,15083
64060,06838,WINOX,17638
124575,06839,YUNNAN WATER,17860
1000011006,06855,ASCENTAGE,228
146275,06858,HONMAGOLF,6276
190375,06860,FINGERTANGO,5252
199151,06862,HAIDILAO,6033
133883,06865,FLAT GLASS,5273
117136,06866,ZUOLI KECHUANG,17967
66811,06868,TENFU,15397
114975,06869,YOFC,17826
1000301847,06871,ROBOTPHOENIX,13186
1000303225,06872,TENNOR THERAP-B,15399
170282,06877,TE HEALTHCARE,15369
126706,06878,DIFFER GP AUTO,4776
87849,06881,CGS,2559
114897,06882,EGL HOLDINGS,5144
1000262702,06883,ETERNAL BEAUTY,5177
164268,06885,JINMA ENERGY,8817
124855,06886,HTSC,7616
1000264817,06887,SUNSHINE PHARMA,15291
89178,06888,FREETECH,5292
76827,06889,DYNAM JAPAN,5067
205310,06890,KANGLI INT HLDG,10663
112873,06893,HINSANG GROUP,6124
126707,06896,GOLDEN THROAT,5879
90576,06898,CHINA ALUMCAN,2653
107909,06899,OURGAME,12871
1000014316,06908,HG SEMI,6104
1000102036,06909,BETTERLIFE HLDG,357
1000205007,06911,LANCANG TEA,10758
1000102037,06913,SCVE GROUP,13275
1000307750,06915,JIANGXI BIO,8796
1000027519,06918,KIDZTECH,10682
1000017000,06919,RENRUI HR,13167
1000179274,06922,CRYOFOCUS-B,4002
1000018769,06928,TOMO HOLDINGS,15462
1000177325,06929,ORBUSNEICH,12861
1000042148,06933,SINO-ENTERTAIN,15096
1000239984,06936,SF HOLDING,13309
1000286593,06938,RIBOLIFE-B,13172
1000085657,06939,MEGAIN,11634
1000179491,06955,BOAN BIOTECH,1238
1000044669,06958,ZHENRO SERVICES,17896
1000211555,06959,CHANGJIU HLDGS,2607
1000270085,06960,SHUANGDENG,15057
1000177326,06963,SUNSHINE INS,15288
1000017992,06966,C WAN TONG YUAN,2338
1000045673,06968,GANGLONG CHINA,5341
1000044670,06969,SMOORE INTL,15179
1000043901,06978,IMMUNOTECH-B,8693
1000190525,06979,ZJLD,17955
1000276177,06980,BAMA TEA,297
1000055695,06988,JOY SPREADER,8852
1000060205,06989,EXCELLENCE CM,5192
1000196617,06990,SKB BIO,15151
1000068889,06993,BLUE MOON GROUP,1236
1000063972,06996,ANTENGENE-B,205
1000058416,06998,EDDING GENOR,5097
1000067199,06999,LEADING HLDGS,10775
152871,07200,FL2 CSOP HSI,5268
1000068239,07226,XL2CSOPHSTECH,17752
1000050043,07233,XL2CSOPCSI300,17751
1000152421,07234,XL2 BOS CHINEXT,17746
145773,07261,FL2CAMNDQ100,5270
1000224148,07262,FL2 CSOP NIKKEI,5269
1000038000,07266,FL2CSOPNASDAQ,5272
152873,07288,FL2 CSOP HSCEI,5267
1000041485,07299,FL2CSOPGOLD,5271
152872,07300,FI CSOP HSI,5239
1000253551,07311,XI2CSOPCOIN,17692
1000260077,07347,XI2CSOPSMSN,17699
1000253552,07366,XI2CSOPTSLA,17701
1000228181,07376,FI CSOP BTC,5238
1000253553,07388,XI2CSOPNVDA,17697
1000253554,07399,XI2CSOPMSTR,17695
1000292926,07489,VOYAH AUTO,17563
225296,07500,FI2 CSOP HSI,5241
1000224149,07515,FI2 CSOP NIKKEI,5242
1000008343,07522,FI2CAMNDQ100,5243
1000068240,07552,XI2CSOPHSTECH,17694
1000009745,07568,FI2CSOPNASDAQ,5244
1000000234,07588,FI2 CSOP HSCEI,5240
1000281313,07618,JD INDUSTRIALS,8776
1000301848,07630,IMPACT THERAP-B,8695
1000301502,07666,METIS TECHBIO-P,11666
1000303072,07688,TOPNC,15480
1000276797,07709,XL2CSOPHYNIX,17753
1000253555,07711,XL2CSOPCOIN,17749
1000260078,07747,XL2CSOPSMSN,17758
1000253556,07766,XL2CSOPTSLA,17760
1000253557,07777,XL2CSOPBRKB,17747
1000253558,07788,XL2CSOPNVDA,17756
1000253559,07799,XL2CSOPMSTR,17754
5207,08003,GREAT WORLD,5909
5209,08005,YUXING INFOTECH,17863
5210,08006,SINO SPLENDID,15094
5211,08007,GLOBALSTRAT,5862
152662,08013,ECI TECH,5094
199543,08017,TRADEGO,15492
94230,08018,FINSOFT FIN,5253
5223,08019,HAO WEN HLDGS,6061
67549,08020,UNITAS HOLD,17503
5225,08021,WLS HOLDINGS,17653
146522,08023,KWONG MAN KEE,10742
5229,08026,CB GLOBAL,2426
126708,08027,KPM HOLDING,10719
5231,08028,TIMELESS,15443
5232,08029,CI FIN TECH GP,2817
74105,08030,FENGYINHE,5233
70415,08031,ETS GROUP,5180
5236,08033,VODATEL NETWORK,17560
146557,08035,JANCO HOLDINGS,8771
190684,08036,EBROKER GROUP,5091
7612,08037,CH BIOTECH SER,2570
148329,08039,CHINA COME RIDE,2665
175501,08040,COOLPOINT INNO,3948
5241,08041,INTELLIMARK AI,8720
201379,08042,KOS TALENT GP,10716
171947,08043,ATLINKS,251
5245,08047,CHINA OCEAN GP,2709
5246,08048,YU TAK INT'L,17838
5247,08049,JILIN CHANGLONG,8806
5248,08050,CITY COOLXUAN,3777
5249,08051,CIRCUTECH,3685
147317,08052,LUK HING ENT,10862
143040,08056,LIFE CONCEPTS,10815
132216,08057,MADISON H-NEW,10886
110307,08059,GLORY FLAME,5865
5255,08060,GLOBAL LINK,5859
148629,08062,EFT SOLUTIONS,5120
164271,08065,KML TECH,10706
5258,08066,PHOENITRON HOLD,12933
117548,08067,OUC HOLDINGS,12870
149776,08069,FLYDOO TECH,5275
137887,08070,KEEN OCEAN,10671
5263,08071,CH NETCOMTECH,2584
67660,08072,LANGU CO,10763
158002,08073,SFSY NEW MAT,13317
5267,08076,SING LEE,15084
5270,08079,WISDOMCOME GP,17643
5271,08080,NAS HOLDINGS,12754
5272,08081,BAIJUYI HOLD,291
5273,08082,QINGHUA HOLD,13121
59797,08087,CHINA 33 GROUP,2651
149526,08091,OOH HOLDINGS,12856
5281,08092,ITE HOLDINGS,8764
119476,08093,WEB3 META,17591
5282,08095,BEIDA JADE BIRD,340
217088,08096,TASTY CONCEPTS,15362
60067,08098,CL GROUP,3842
5287,08100,FAMOUS TECH INT,5206
5290,08103,HMVOD,6253
5291,08106,XINHUA LANDE,17730
184734,08107,FICUS TECH,5246
5296,08111,CT IND GROUP,4060
64028,08112,CORNERSTONE FIN,3949
135650,08113,V&V TECH,17519
7670,08115,QINGDA ORIENTAL,13118
5300,08117,CHI P ENERGY,2642
166334,08118,ZHONGZI INTL H,17925
5303,08120,CH DEMETER FIN,2573
125039,08121,GUOEN HOLDINGS,5950
5305,08123,SINOFORTUNE FIN,15105
108417,08125,CHINA NEW HLDGS,2706
5308,08128,CHYY GP,2816
5310,08130,DADI INTL GROUP,4730
5311,08131,ABC MULTIACTIVE,80
62402,08132,CENTURY EN INTL,2532
122941,08133,JISHENG GP HLDG,8825
172158,08136,IMS GROUP,8699
5316,08137,HONBRIDGE,6272
117550,08139,CHANGAN RH,2605
190373,08140,BOSATECH,1310
5319,08143,GF HEALTHCARE,5379
188590,08146,GRACEWINE,5897
108416,08147,MILLENNIUM PG,11689
6945,08148,WUXI LIFE,17670
146518,08149,ALTUS HLDGS,179
157903,08152,M&L HOLDINGS,10880
5324,08153,JIADING INTL GP,8788
5326,08156,SINOPHARM TECH,15136
5328,08158,CRMI,3995
5329,08159,CU VENTURE INV,4714
148043,08160,GOLDWAY EDU,5886
141334,08161,MEDINET GROUP,11628
109138,08162,LOCO HK,10842
5333,08163,NOIZ GROUP,12812
180316,08168,AMASSE CAPITAL,181
5337,08169,ECO-TEK HLDGS,5095
5339,08172,LAJIN ENT,10756
5340,08173,HEPHAESTUS HLDG,6096
5342,08176,SUPERROBOTICS,15298
5344,08178,CHINA INFO TECH,2690
64059,08179,PALINDA GROUP,12888
94969,08181,KS SMART MGMT,10724
5349,08186,ALMANA,175
141186,08187,JIMU GROUP,8807
151865,08188,GME GROUP,5869
5351,08189,TEDA BIOMEDICAL,15373
99372,08191,HONG WEI ASIA,6273
62911,08193,ASIAPAC FIN INV,243
112875,08195,LEGENDARY EDU,10786
134493,08196,FUTIAN HOLDINGS,5314
5357,08198,CRYPTO FLOW,4003
6760,08200,SAU SAN TONG,13264
89297,08201,PPS INT'L,12998
6999,08203,KAISUN HOLDINGS,10658
5361,08205,JIAODA WITHUB,8798
5362,08206,S ROBOT EDU,13219
1000002245,08208,RADIANCE GLO GP,13140
195844,08210,DLC ASIA,4793
5366,08213,STARGLORY HLDGS,15236
139463,08217,JU FU TANG BIOT,10623
95062,08218,ECHO INT HOLD,5093
190893,08219,HANVEY GROUP,6057
5367,08220,BINGO GROUP,1048
148936,08221,GAOYU FINANCE,5345
112364,08222,E LIGHTING,5073
189693,08223,ZYY,17975
6312,08225,C HEALTH GP,2328
5370,08226,KOALA FIN GP,10713
6709,08227,HAITIAN ANTENNA,6036
142062,08229,FUTURE DATA,5317
142610,08232,THAC GROUP,15411
108418,08237,LINK HOLDINGS,10827
118948,08238,WINTO GROUP,17640
5377,08239,CAPITAL FIN,2409
181834,08241,YING KEE TEA,17820
131915,08245,CANOPY SKYFIRE,2400
70111,08246,ZHONGHUA GAS,17914
10733,08247,BIOSINO BIO-TEC,1056
6738,08249,RUIYUAN IC TECH,13212
7613,08250,DU DU HLDGS,5060
138914,08262,SUPER STRONG,15295
116238,08267,LINEKONG,10818
117135,08268,SMART CITY DEV,15168
53240,08269,GO UP EDU TECH,5871
6423,08270,CHINA CBM,2659
6373,08271,GDC,5361
164515,08275,CHINA NEW CONS,2705
119523,08277,STEEDORIENTAL,15248
6988,08279,AGTECH HOLDINGS,109
141563,08280,CDV HOLDINGS,2504
142462,08281,CH GOLD CLASSIC,2580
135653,08282,GAMEONE,5339
147390,08283,ZHONGSHI MINAN,17920
171500,08285,SLING GROUP,15167
7484,08286,CCOE,2458
131914,08290,AHSAY BACKUP,110
157904,08291,HK ENT INTL,6130
142463,08292,VSING,17566
142695,08293,SINGASIA HLDG,15087
49183,08295,KINGWISOFT TECH,10702
38092,08296,SINO-LIFE GROUP,15097
150875,08297,OCEAN STAR TECH,12843
7962,08299,GT GOLD,5936
143912,08300,JIN MI FANG GP,8808
189310,08305,ST HLDGS,15227
116239,08307,MEDICSKIN,11627
138213,08308,GUDOU HLDGS,5946
153237,08309,MANSHING GLOBAL,10900
92801,08310,YANCHENG PORT,17781
100811,08311,PERFECT OPT,12915
171280,08313,ZACD,17872
110118,08315,CEN PLAZA HOTEL,2526
127974,08316,CHINA HONGBAO,2685
8475,08317,FINET GROUP,5251
139130,08319,EXPERT SYS,5193
146559,08320,AEC GROUP,96
146432,08321,TAI KAM HLDGS,15344
96505,08326,TK NEW ENERGY,15457
142465,08328,XY ELEC STORAGE,17773
9731,08329,NEP INTERLONG,12768
135190,08331,P.B. GROUP,12872
142696,08333,ASTRUM FIN,249
48781,08337,DIRECTEL,4782
23571,08340,ZIJING INTL FIN,17942
149860,08341,AESO HOLDING,99
153967,08347,F8 ENT,5200
23370,08348,BINHAI TEDA,1050
149775,08349,GUIXIN GROUP,5947
171858,08350,WELL LINK SEC,17606
51647,08356,TSUN YIP HLDGS,15523
187969,08357,REPUBLIC HC,13170
142464,08360,BASIC H NEWLIFE,313
157305,08362,WINNING TOWER,17637
155579,08365,HATCHER GROUP,6071
133125,08366,ZJ UNITED INV,17949
176739,08367,SIMPLICITY HLDG,15080
133928,08368,CREATIVE CHINA,3994
149769,08370,ZHI SHENG GP,17899
171741,08371,TASTEGOURMET GP,15361
181495,08372,GBG HOLDINGS,5350
166269,08373,INDIGO STAR,8701
166267,08375,DATA UNION CAP,4744
169632,08377,HARBOUR EQUINE,6068
175499,08379,PRIME INTEL,13076
168434,08385,PROSPEROUSPRINT,13087
185540,08391,CORNERSTONE TEC,3950
164419,08392,SATU HOLDINGS,13263
173138,08395,ZXZN QI-HOUSE,17968
166181,08400,ASIA PIONEER,237
180965,08401,STREAM IDEAS,15255
158004,08402,PLATEAU TL,12962
187485,08403,DEFENG SOLIFE,4759
157836,08406,CHINA ORAL IND,2712
148396,08411,K W NELSON GP,10646
153474,08412,NEW AMANTE,12774
153969,08413,ASIA GROCERY,235
149774,08416,HM INTL HLDGS,6252
150876,08417,DADI EDU,4729
1000011275,08418,OPTIMA AUTO,12858
170281,08419,AV PROMOTIONS,266
156854,08420,NEXION TECH,12798
170280,08422,WT GROUP,17662
152733,08423,CHI HO DEV,2637
152731,08425,HING MING HLDGS,6120
166332,08426,MODERN LIVING,11725
158228,08427,WS-SK TARGET,17661
151183,08428,CBK HOLDINGS,2428
168435,08429,SV VISION,15301
164326,08430,C&N HOLDINGS,2343
151188,08431,HAO BAI INTL,6059
149855,08432,BAR PACIFIC,310
164887,08436,TAKBO GROUP,15354
164418,08437,RMH HOLDINGS,13183
153238,08439,SOMERLEY CAP,15195
163283,08445,NOBLE ENG GP,12811
156444,08446,BRIGHTSTAR TECH,2305
182901,08447,MS CONCEPT,11742
180192,08448,UNI PRINTSHOP,17500
174579,08450,EDICO HOLDINGS,5101
182256,08451,SUNLIGHT HLDGS,15279
155121,08452,FY FINANCIAL,5330
154140,08455,LAI GROUP,10750
172986,08456,MANSION INTL,10901
157304,08460,BASETROPHY GP,312
157672,08462,OMNIBRIDGE HLDG,12850
158076,08471,REACH NEW HLDGS,13146
158073,08472,LAPCO HOLDINGS,10766
176389,08473,MI MING MART,11673
194141,08475,E-STATION GTECH,5078
164265,08480,FURNIWEB,5312
158072,08481,SHENGLONG INTL,15025
197047,08482,WAN LEADER,17578
179143,08483,MAX SIGHT GROUP,10911
171623,08487,ISP GLOBAL,8761
1000071001,08489,GP LOGISTICS,5892
186202,08490,NICHE-TECH SEMI,12802
162926,08491,COOL LINK,3946
171499,08493,S. DRAGON,13222
168189,08495,1957 & CO.,2
1000037227,08496,GLOBAL UIN,5861
1000019536,08500,ICONCULTURE,8681
170880,08501,SANBASE CORP,13241
189311,08502,OCEAN LINE PORT,12841
182257,08507,I.CENTURY HLDG,8643
171859,08509,WINE'S LINK,17628
176188,08510,TOPSTANDARDCORP,15482
182900,08511,MIN FU INTL,11692
191120,08512,HYFUSIN GROUP,8631
171863,08513,MAXWIN INT HLDG,10914
201380,08516,ZY INTL,17970
175096,08519,XINXIANG ERA,17736
185541,08521,WEBX INTL HLDGS,17593
190374,08525,BAIYING HOLDING,295
177056,08526,WING FUNG GROUP,17632
183904,08527,JLOGO HLDGS,8832
1000224439,08529,UBOT HOLDING,17317
176392,08532,POLYFAIR HLDGS,12974
176393,08535,VISTAR HOLDINGS,17551
185685,08536,TL NATURAL GAS,15458
201383,08537,CHONG FAI JEWEL,2795
190368,08540,VICTORY SEC,17542
187380,08545,AMUSE GROUP,193
190369,08547,PACIFIC LEGEND,12879
1000275201,08549,GOLDEN LEAF INT,5877
197550,08601,BOLTEK,1296
200894,08603,FAMEGLOW,5205
191118,08606,KINETIX SYSTEMS,10689
1000286594,08610,BBSB INTL,326
201489,08611,MINDTELL TECH,11694
1000002002,08612,WORLD SUPER,17659
200892,08613,ORIENTAL PAY,12865
1000033505,08616,SUNRAY ENG GP,15285
197954,08619,NIU HOLDINGS,12807
1000034168,08620,AE LOGISTICS,95
208651,08621,METROPOLIS CAP,11667
208525,08622,JOYZYME GROUP,8860
1000043902,08623,CHINA SAFTOWER,2742
1000012434,08627,ORANGE TOUR,12860
1000230415,08629,SYNTRUST GK,15325
210246,08631,SUN KONG HLDGS,15268
221845,08635,ELEPHANT HLDGS,5150
1000225731,08637,METASURFACE,11665
1000016213,08645,BYTE META,2321
1000019182,08646,CHINA HONGGUANG,2686
1000059561,08657,TRUE PARTNER,15508
1000045674,08659,YIK WO INTL,17817
1000296005,08661,INTELLIMARK W27,8721
1000009089,08668,YING HAI GROUP,17819
1000089869,09001,PP CNUSDPROP-U,12995
1000221539,09008,BOS HSK BTC-U,1307
1000221540,09009,BOS HSK ETH-U,1309
146475,09010,ISHARES AXJ-U,8741
1000000423,09011,A ICBCCICCUSD-U,59
1000296876,09031,FG HS HIGHDIV-U,5237
1000190425,09040,GX MSCI CHINA-U,6011
1000221362,09042,CAM BTC-U,2363
1000221234,09046,CAM ETH-U,2372
1000028853,09047,F SSIFIRONORE-U,5199
1000258804,09064,GX APAC-U,5973
1000057176,09067,ISHARESHSTECH-U,8756
1000100820,09069,CAM HSBIOTECH-U,2382
1000231575,09070,PING AN HKDIV-U,12946
141866,09074,ISHARESMSCITW-U,8758
1000197995,09075,GX ASUSD BOND-U,5976
1000003141,09077,PREMIA UST-U,13069
1000010348,09078,PREMIA UST A-U,13068
152514,09081,VALUEGOLD ETF-U,17525
1000239756,09084,A GX INDIA-U,49
218195,09086,CAM NASDAQ100-U,2394
1000054548,09088,CAM HS TECH-U,2379
212845,09096,A CSOP USD MM-U,35
1000284071,09102,ICBCU KS KWEB-U,8678
1000239757,09104,A GX EM ASIA-U,41
1000216374,09107,BOS 20 UST A-U,1301
147662,09115,ISHARESHSI-U,8754
1000295530,09140,CAM HKUS AI-U,2376
218196,09141,CAM ASIA IGB-U,2360
1000225732,09146,CAM 20 UST-U,2357
1000104819,09151,PREMIA STAR50-U,13064
1000216375,09156,BOS 20 UST-U,1302
1000233154,09159,PREMIA TW50A-U,13066
182738,09167,ICBCCSOPCHINA-U,8668
1000007234,09173,PP CN NEWECON-U,12992
1000289243,09176,A TK USD MM-U,66
1000162575,09177,PP CGBOND HDG-U,12988
1000221235,09179,HGI ETH-U,6110
193456,09181,PREMIAASIATEC-U,13073
1000059562,09187,SAMSUNG REITS-U,13235
1000267367,09188,CAM CSI300-U,2366
1000051821,09191,GX CN SEMICON-U,5998
1000218700,09195,HS S&P500-U,6300
1000198676,09196,A BOS USD MM-U,20
1000253560,09311,XI2CSOPCOIN-U,17693
1000260079,09347,XI2CSOPSMSN-U,17700
1000253561,09366,XI2CSOPTSLA-U,17702
1000253562,09388,XI2CSOPNVDA-U,17698
1000253563,09399,XI2CSOPMSTR-U,17696
1000170373,09403,CAM HSI ESG-U,2385
1000233155,09404,CAM MSCIINDIA-U,2392
1000271125,09406,PA TECHSELECT-U,12877
1000233156,09411,PP ASIA IGUSD-U,12984
1000265835,09415,A GXS&P500CC-U,54
1000287610,09416,A GX HSCEICC-U,45
1000304116,09418,CAM DIGI GOLD-U,2369
1000266363,09425,MBC ETH-U,11281
1000296677,09428,GX CL HK-US-U,5980
1000266364,09430,MBC BTC-U,11279
1000289244,09434,EFUND DIGITAL-U,5131
1000226849,09437,BOS CSOE HIDV-U,1305
1000221236,09439,HGI BTC-U,6106
1000241859,09440,GX 0-3M UST-U,5965
1000225733,09446,CAM 20 UST A-U,2355
1000236314,09450,GX 3-5Y UST-U,5967
1000272196,09451,A GXNASDAQCC-U,52
1000249051,09455,INVESCO QQQ-U,8730
1000278516,09460,CAM SOL-U,2397
1000283025,09472,A CAM USDTMMF-U,27
1000271126,09477,PA EW SELECT-U,12874
1000257392,09478,PPKSA G SUKUK-U,12997
1000275602,09480,A VP USD MM-U,71
1000272542,09483,EFUND APAC HD-U,5127
1000272543,09489,EFUND AI-U,5124
1000069426,09600,NEWLINK TECH,12795
1000254492,09606,DUALITYBIO-B,5061
1000071601,09608,SUNDY SERVICE,15275
1000282436,09609,HAIWEI ELEC,6040
1000286749,09611,LONGCHEER,10850
1000058236,09616,NEUTECH GROUP,12773
1000042149,09618,JD-SW,8780
1000087784,09626,BILIBILI-W,1005
1000307258,09630,CFMEE,2548
1000054238,09633,NONGFU SPRING,12813
1000186157,09636,JF SMARTINVEST,8784
1000307414,09637,ALEBUND-B,168
1000147342,09638,FERRETTI,5234
1000233604,09639,WING LEE DEV,17633
1000179492,09658,SUPER HI,15294
1000238030,09660,HORIZONROBOT-W,6284
1000208764,09663,SINOSYNERGY,15138
1000045675,09668,CBHB,2427
1000189878,09669,BEISEN HOLDING,346
1000203731,09676,SHIYUE DAOTIAN,15044
1000059563,09677,WEIHAI BANK,17601
1000262960,09678,UNISOUND,17502
1000227113,09680,CHENQI TECH,2626
1000203347,09686,XIKANG CLOUD,17718
1000057951,09688,ZAI LAB,17873
1000192967,09689,JTF INTL,10622
1000203179,09690,TUHU-W,15525
1000158798,09696,TIANQI LITHIUM,15435
1000061808,09698,GDS-SW,5363
1000124858,09699,SF INTRA-CITY,13310
1000253564,09711,XL2CSOPCOIN-U,17750
1000260080,09747,XL2CSOPSMSN-U,17759
1000253565,09766,XL2CSOPTSLA-U,17761
1000253566,09777,XL2CSOPBRKB-U,17748
1000253567,09788,XL2CSOPNVDA-U,17757
1000253568,09799,XL2CSOPMSTR-U,17755
1000110371,09801,ISHARES CHINA-U,8743
1000007235,09803,PP BEDROCK-U,12986
1000003142,09804,PREMIA VIET-U,13071
1000289245,09805,CG BS CNASEAN-U,2551
1000020904,09806,GX CN CONSUME-U,5988
1000051822,09807,GX CN ROBO&AI-U,5996
1000020905,09809,GX CN CLN EN-U,5984
193458,09810,PREMIAEMASEAN-U,13075
1000043232,09812,SAMSUNGCDGN-U,13238
1000095045,09814,SAMSUNG FANG-U,13233
1000089870,09817,PP CGBOND-U,12990
1000003955,09820,GX CN BIOTECH-U,5982
1000289246,09824,EFUND GOLD MI-U,5134
1000003956,09826,GX CN CLOUD-U,5986
1000115313,09829,ISHARESCGB-U,8748
141863,09834,ISHARESND100-U,8760
146473,09836,ISHARES INDIA-U,8745
1000128820,09839,CAM MSCI A50-U,2389
1000233880,09840,SPDR GOLD TRT-U,15211
1000020906,09845,GX CN EV BATT-U,5990
152515,09846,ISHARESCSI300-U,8751
1000161604,09857,LINMON MEDIA,10830
1000099083,09858,YOURAN DAIRY,17831
1000132836,09860,ADICON HOLDINGS,92
1000167023,09863,LEAPMOTOR,10778
1000141956,09866,NIO-SW,12804
